,hoax,link,timestamp
11,"Pt vai simular atentado a Haddad pra gerar comoção nacional três dias antes das eleições!! Compartilhem!!! Mesmo que seja mentira, pelo menos já estamos preparados!!! E se for verdade, eles vão abortar, pq todo mundo já estará sabendo!!! Um alerta importante. Vazou hoje de dentro de um gabinete de um deputado federal do PT e essa informação é sigilosa e foi repassada para nós que o PT está organizando um falso atentado a Haddad três dias antes da eleição. Como assim? O PT vai simular uma tentativa de homicídio a Haddad para levar a sociedade brasileira à comoção nacional. Essa raça imunda é capaz de tudo.  Então, antes que aconteça, você já está alertado sobre o que vai acontecer. Eles vão usar a mentira, a falsidade, o engano pra tentar convencer você que nós somos terroristas e intolerantes. Haddad vai usar a última cartada pra tentar conquistar eleitores usando a comoção nacional. Não acredite no que você vai ouvir da mídia. Não vai haver atentado algum e eles vão mentir para você.",https://www.boatos.org/politica/pt-falso-atentado-haddad-eleicoes.html,2018-10-21 15:43:16
13,"*URGENTE!!!* O presidiário Lula foi autorizado a dar entrevista dia 27 sábado, depois que acabar o horário eleitoral e um dia antes das eleições do segundo turno.  Fontes confiáveis e dignas viram os textos que o militante está decorando para falar na TV. Ele vai dizer que foi o próprio partido de Bolsonaro que armou seu atentado, dizer que Bolsonaro incita o ódio e a violência, que bolsonaro vai perseguir os pobres e afirmar que vai voltar a presidência se HADDAD for eleito. SERÁ A ÚLTIMA CARTADA NOJENTA, NAZISTA DESSA GENTALHA VERMES VERMELHOS JUNTO DA REDE ESGOTO.  O objetivo da GLOBO, é ficar repercutindo e comentando a entrevista em várias emissoras, inclusive vai haver a interrupção da programação da globo onde vai entrar aquele PLANTÃO URGENTE ao vivo. Tudo isso será na data estratégica, ou seja, dia 27 de outubro, um dia antes das eleições, onde bolsonaro não poderá se defender e nem dar entrevista pois é proibido pelo TSE.  *REPASSEM E AVISE A TODOS PARA QUE NINGUÉM SEJA ENGANADO*",https://www.boatos.org/politica/lula-entrevista-dia-27-eleicoes.html,2018-10-20 22:12:13
14,"URGENTE: Serviço de inteligência impede que Bolsonaro viaje para São Paulo. O candidato foi informado que ele corria risco de ser morto. Polícia Federal investiga advogados de Adélio, que tentou matar Bolsonaro, por envolvimento com o PCC. Duas pessoas da pensão em que Adelio estava morreram após o atentado. Em video feito na noite de ontem, dia 18 de outubro, Bolsonaro lembra que Adélio era filiado ao PSOL e esclarece aos eleitores que, de acordo com a legislação eleitoral, a partir de agora, se ele for assassinado o terceiro lugar no primeiro turno – Ciro Gomes – disputaria a eleição com Haddad. Ontem o PDT de Ciro e o PT entraram com o pedido de impugnação da candidatura de Bolsonaro – alegando uso de Fake News – para que Haddad e Ciro disputem a eleição.  Sentindo -se ameaçado Bolsonaro foi a sede do Bope e da Polícia Federal pedir apoio. Sabendo que é impossível ganhar nas urnas as facções criminosas – inclusive o PT – querem Bolsonaro fora de qualquer maneira. Semana passada José Dirceu disse em entrevista ao jornal El Pais: “Falta pouco para *tomarmos o poder* e não será por eleição”. Estão querendo tirar Bolsonaro de casa para debate...isso é levá-lo para a morte. Ele precisa ficar em casa até a posse.  Depois eles sabem que se ele for morto o General Mourao assume e o bicho vai pegar. A eleição acabou! Bolsonaro está eleito. Agora é guerra! A vida dele está em risco. Vamos denunciar! Se o Capitão morrer o Brasil vai explodir. Todos atentos. Cuba, Venezuela, PT, PCC... são muitos os bandidos que não querem Bolsonaro presidente. O escudo dele é Deus e o povo. Deus guarde a vida de Bolsonaro e de sua familia. Brasil: vamos lutar pela vida dele! Leia, compartilhe, alertem todos os seus contatos em todas as redes sociais.",https://www.boatos.org/politica/servico-inteligencia-impede-bolsonaro.html,2018-10-20 16:13:15
15,"“Manuela D’ávila cristã?!?? Leonardo de Oliveira Marques de Sá.Cristã?!?! Incoerência”. “Manuela D’avila se contradiz....É ateu ou é Cristã? Vice do Haddad se contradiz....É ateu ou é Cristã?”. “DESMASCARADA: Para conquistar votos cristãos, Manuela D’Avila MENTE sobre ser religiosa. Veja a mentira da candidata a vice-presidente. Ainda bem que temos registros dela dizendo o contrário”. andidata a Vice-presidente do candidato Fernando Haddad, mentindo sobre “ser cristã”.",https://www.boatos.org/politica/manuela-davila-nao-crista.html,2018-10-20 10:23:10
16," Caixa 2 Bolsonaro. Lista de empresas que apoiam o Bolsonaro e seu caixa 2.   Saiu a lista das empresas envolvidas no escândalo do Caixa 2 da campanha do candidato B17. Ele disse na.maior cara de pau que sabia, ou seja, réu confesso. Segue abaixo;   Lista de empresas que fizeram doação ilegal de campanha a Bolsonaro (Organização Criminosa para prática do crime de Abuso do Poder Econômico) – BOICOTE TOTAL À: [lista] REPASSEM. 1. Hirota Supermercados / Hirota Food Express 2. Gazin 3. Tecnisa 4. Artefacto 5. Centauro / By Tenis / Almax Sports / Nike Store (operador-representante no Brasil) 6. Havan 7. Brinquedos Estrela 8. UPS Transportes 9. Habib’s / Ragazzo / Arabian Bread / Ice Lips / Promilat / Vox Line 10. Bio Ritmo / Smart Fit 11. Grupo GS& Gouvêa de Souza 12. Grupo Guararapes: Riachuelo / Midway Financeira / Transportadora Casa Verde / Confecções Guararapes / Shopping Midway Mall 13. JR Diesel 14. Dudalina 15.Polishop 16. ALE Combustíveis 17. Hemmer 18. Grupo Newcomm: Y&R Grey Brasil / Wunderman / VML / Red Fuse / Ação Premedia e Tecnologia 19. Holding Clube: Banco de Eventos / Rio360 / Samba.pro / Lynx / Cross Networking / The Aubergine Panda 20. Grupo Marisol: Mineral / Pakalolo / Rosa Chá 21. Estácio 22. Óticas Carol / General Optical 23. Ranking dos Políticos / Multilaser / Aluno 10 24. ANAPRE / CIESP Campinas / SOLEPOXY Ind. e Com. de Resinas 25. Raia Drogasil 26. Schneider Eletric 27. Barilla 28. Victor Vicenzzo 29.Dolce Gabbana 30. Sergio K 31. Purina 32. Cinemark 33. Localiza 34. Chilli Pepper Single Hotel 35. Coco Bambu 36. Movement Fitness Equipment 37. Biscoitos Zezé 38. Anjos Colchões 39. Curtume Moderno S.A. 40. IBMEC 41. Grupo Bozano 42. Condor Hipermercados",https://www.boatos.org/politica/lista-empresas-caixa-2-bolsonaro.html,2018-10-19 19:51:20
17,"Acabei de ganhar um óculos da Chilli Beans, façam ai antes que  acabem as unidades! Ainda dá tempo! Depois me agradece rs. [site]",https://www.boatos.org/tecnologia/chilli-beans-oculos-gratis-whatsapp.html,2018-10-19 13:47:46
18,"“O vídeo é esclarecedor , fale a pena assistir ... Sobre Romeu zema Candidato do governo de Minas . Acusado de estupro em 2012, contra uma criança de 5 anos”. “Romeu Zema (Novo-MG), o candidato milionário ao governo de Minas, tem uma acusação de estupro de uma menor de 5 anos pesadíssima. Encoberta pela polícia mineira e que deve ser reaberta. Naturalmente hoje se diz Bolsonaro e defensor da família, como a maioria dos grandes hipócritas e canalhas que conhecemos bem por aí. Por enquanto a criança não morreu, não é uma nova Ana Lídia nem Araceli, mas com certeza nos tempos sombrios que nos esperam elas irão se multiplicar. Lembrarei de cada um que está contribuindo com isso”.",https://www.boatos.org/politica/romeu-zema-acusado-estupro.html,2018-10-19 08:57:36
19," O PT é mesmo um partido de maus carateres. Colocaram um petista com camisa amarela para fingir ser eleitor do Bolsonaro e xingar o Haddad na Missa. Na verdade, é um petista passando por eleitor do Bolsonaro. E Gérson Florindo, Presidente do PT de Ubatuba – SP. Só tem canalhas nesse partido!  Olha o eleitor do Bolsonaro que foi xingar o Haddad na Missa – nota do PT. Na verdade, é um petista passando por eleitor do Bolsonaro.  E Gérson Florindo, Presidente do PT de Ubatuba – SP. Só tem canalhas nesse partido! Não salva um",https://www.boatos.org/politica/gerson-florindo-fingiu-xingou-haddad.html,2018-10-19 00:02:40
20,"Ei, o Boticário está dando creme para mãos da nova linha Native SPA Karité. Já consegui ganhar o meu. Pegue o seu antes que termine as unidades. Basta acessar",https://www.boatos.org/tecnologia/boticario-nativa-spa-karite-whatsapp.html,2018-10-18 18:29:46
21,"“A coisa está feia: Principal assessora de Haddad o abandona em plena campanha de 2° turno: segundo ela ouviu Haddad falar claramente com a presidente do PT pelo celular; logo após retornar da missa no Santuário de Aparecida: disse Haddad “ Gleysi! quero que o Brasil se dane e que esses lideres evangélicos se fodam, eu quero é livrar minha pele, estou nessa para conseguir o foro, e me livrar de Moro, tenho 32 processos e a Policia Federal logo, logo estará à minha porta”.  Assessora também manda um alerta para a segurança do candidato do PSL, para não exporem disse ter ouvido rumores que atentarão contra a vida dele novamente. Não voto nele! e nem mais no Haddad mais as regras democráticas devem serem respeitadas, perguntada como está Haddad? Disse: chega a ser desolador já jogou a toalha depois do resultado do 1° turno com a diferença de 17 Milhões de votos. Ele próprio nos disse que É impossível reverter, mas que precisam manter o otimismo para o desastre do PT não ser maior no Brasil e na região Nordeste. Compartilhem!!!”.",https://www.boatos.org/politica/assessora-haddad-abandona-campanha.html,2018-10-18 14:28:34
22,"Olá, pessoal! É o Renato Tamaia aqui de São Paulo. Olha só a informação muito importante para ser viralizada nas redes sociais e no WhatsApp. O negócio é o seguinte: no dia da votação agora no segundo turno, no dia 28, se você digitar lá 17 e der voto nulo e não aparecer a fotografia do Bolsonaro e der a foto do Haddad no lugar, não aperta a tecla verde. Não confirme o voto em hipótese alguma. Dirija-se ao mesário e peça a ele para dar o comando 555. Com este comando o seu voto será reiniciado.  Nos estados que tiver segundo turno também para governador você terá que votar novamente no governador e, em seguida, para presidente de novo. Faça isso quantas vezes forem necessários até que os dados do Bolsonaro apareçam claramente para você com fotografia e tudo mais. Não vamos cair na esparrela, na armadilha que o pessoal tá armando aí para fraudar as urnas.  Olha só mais de 7 milhões de votos anulados por causa dessa pegadinha do malando. Então, olho vivo! Preste atenção digitou 17 e deu lá voto nulo. Não confirme. Em último caso, se depois de diversas tentativas, persistir o erro chame a polícia, chame o fiscal de partido, chame o representante da Justiça Eleitoral. Em último caso, se você não conseguir votar de jeito nenhum por causa desse erro, peça e exija a impugnação daquela urna, porque se ela tá fraudando é para beneficiar o lado de lá. Um abraço.",https://www.boatos.org/politica/comando-555-urna-eletronica.html,2018-10-18 08:58:09
23,"BOLSONARO E O CÂNCER TERMINAL QUE ESTARIA SENDO MANTIDO EM SIGILO HÁ MESES. [...] Há rumores de que Bolsonaro, na verdade, está com câncer terminal no trato digestivo e não está bem de saúde. Fontes próximas acreditam que ele não tem saúde para terminar um possível mandato. Desde o começo do ano, Jair Bolsonaro dá sinais de que não está com a saúde 100% para um paraquedista formado. Não, não me refiro àquelas flexões de cabeça que ele fez. Me refiro aos desmaios, passamentos, passadas de mal. [...] Eis então que surge nas redes sociais um vídeo de Jair Bolsonaro em um culto. Você deve ter se deparado com ele nos últimos dias. Um pastor clama por CURA, ou melhor MILAGRE, enquanto dois obreiros repousam as mãos sobre o ESTÔMAGO de Bolsonaro. Sim, este vídeo que está circulando e estão associando a um prenúncio da facada e a um possível livramento provavelmente é um pedido de oração para a cura da doença por parte da esposa do candidato que é evangélica. A ida ao culto ocorreu no dia 2 de maio. [...] No dia 06 de setembro de 2018, o atentado. A facada que aconteceu justamente no dia em que o candidato que sempre andava de colete a prova de balas, havia esquecido de usar o item de segurança. Lembremos da camisa forjada com sangue e toda a balela criada pelos dois lados. Temos que pensar na inconveniente conveniência deste ataque.  Não esqueçamos também da saúde mental do autor do atentado nem da coletiva de imprensa marcada para as vésperas do primeiro turno mas que acabou nunca acontecendo porque um deputado aliado de Bolsonaro solicitou a suspensão da entrevista e o pedido foi prontamente atendido pela justiça Aliás, perceberam que ninguém fala mais disso?  Não acho que o episódio tenha sido uma fantasia, mas não podemos descartar a possibilidade de ter sido usado para cobrir um problema de saúde maior do candidato. E já que estamos falando de conspirações, mais uma curiosidade: Dona Aparecida, proprietária da pensão que Adélio, o autor da facada, se hospedou antes de cometer o crime, morreu 1 semana após ter prestado depoimento a PF sobre o caso (2 semanas após o atentado). [...] Um outro fato que gerou enorme repercussão foi a mudança de hospital. Todos se lembram que uma equipe do Sírio Libanês estava a postos e foi a primeira a chegar em Minas e tinha inclusive uma UTI aérea para levá-lo a SP. Mas houve uma confusão e com a desculpa de que o Sírio era “hospital de esquerda”, ele e os filhos fizeram questão de que o ex-capitão fosse para o hospital Albert Einstein. Muito que bem, no Einstein, a cirurgia foi chefiada pelo Dr. Antônio Luiz de Macedo, ONCOLOGISTA, um dos maiores especialistas do país em câncer de intestino. O médico é quem acompanha o candidato desde então. [...] Isso tudo pode ser mais uma mera teoria da conspiração, mas me pareceu conter peças que se encaixam perfeitamente. E se houver algum vestígio de verdade nessa história é obrigação não apenas do candidato mas também de seu médico de informar o real diagnóstico à nação. Mentir ou omitir um quadro tão grave num momento tão delicado de nossa história seria um crime contra nossa democracia.",https://www.boatos.org/politica/bolsonaro-cancer-terminal.html,2018-10-17 21:54:43
24,"VAGAS COM INICIO IMEDIATO NO SAMU Não é necessário ter experiência. Salário inicial até 3438,21. Participe do processo seletivo simplicado: [site].  Oi, to passando para avisar que a *UPA* está com *vagas de emprego* de caráter de *emergência*! Não é necessário ter experiência. Salário inicial até R$ 3.858,35 Participe da entrevista aqui: [site].",https://www.boatos.org/tecnologia/samu-upa-vagas-whatsapp.html,2018-10-17 17:59:34
25,As maiores lojas do Brasil se juntaram neste *mês de outubro na campanha contra câncer de mama* e estão distribuindo gratuitamente *camisetas* para apoiar esta causa. Para resgatar a sua entre [site].,https://www.boatos.org/tecnologia/camisetas-outubro-rosa-gratis-whatsapp.html,2018-10-17 13:17:44
26,"Como é bom esse Twitter, é só ter um pouco de paciência e vasculhar, que vc acha cada coisa! Fernando Haddad 13. Haddad_Fernando. A revolução que acontece na Venezuela, é sem dúvidas uma conquista que deverá ser exemplo para todos os Paises! Parabéns Maduro! Estamos juntos.  20:47 – 13 out 14",https://www.boatos.org/politica/haddad-venezuela-maduro-twitter.html,2018-10-17 09:25:22
27,"Este é Alex Atala mandando um recado para Bolsonaro e seus eleitores. E este é o seu restaurante, vai comer lá ainda. Mais um lixo da culinária, quem paga imposto não engole mais isso.   Que deprimente este povinho, ter que fazer escrotice pra manter o estágio! Acha que Bolsonaro nos induziria a fazer algo assim???? *equipe de Alex Atala",https://www.boatos.org/entretenimento/alex-atala-gesto-obsceno-bolsonaro.html,2018-10-16 21:49:15
28,"Este é o maravilhoso poeta que está sempre no programa da Fátima Bernardes ... Ele Fez cordel com tema: eleição/Bolsonaro. NEM O POETA DA GLOBO APOIA O HADDAD!!!  Esse nunca mais vai ser chamado pra programas da Globo.Mas o cordel dele disse tudo...#B17 Bolsonaro  #EleSIM! Repentista nordestino Bráulio Bessa – do Programa da #comunista Fátima Bernardes (#GLOBO) – aceita desafio e faz poesia em apoio ao Jair #BOLSONARO ... Depois desse “desafio” esse famoso repentista nunca mais vai ser convidado a participar do programa da #comunista Fátima Bernardes... #JairBolsonaro_Presidente_PSL17. Vídeo de Bráulio Bessa  CORDEL PARA BOLSONARO. Quem vota no HADDAD vive no mundo da lua, pois se ele ganhar a eleição, continua a falcatrua, vamos ter venda de droga liberada em nossa rua, não é bom para a família, nem pra minha nem pra sua, na ideia do Haddad homem não nasce homem, mulher não nasce mulher, a partir dos seus 6 anos pode ser o que quiser, e pra isso ir pra frente o que ele fez eu sei, tentou lançar nas escolas esse tal de kit gay, veja só que malvadeza, tirar das nossas crianças, inocência e pureza, prá você imaginar o quanto ele é do mau, o seu chefe esta preso num presidio federal, nesse crime organizado, a coisa ta muito feia, as ordens que ele recebe vem de dentro da cadeia, vou dizer o que eu penso, mas digo só pra você em matéria de bandido já ganhou do PCC mas caiu na lava jato e isso não vou ver mais,roubarem nosso dinheiro através da Petrobras, da Vale, JBS, o povo não aguenta mais, NÃO QUERO QUE ISSO VOLTE, pelo bem da nação, POR ISSO QUE O MEU VOTO É MESMO PRO CAPITÃO Um homem honrado, que nunca foi acusado de pegar nenhum tostão. Aconselho a todo mundo a votar no 17 para que a vida seja mais bela, e consigamos sair de vez, do horror da Venezuela, Eu não quero no poder um amigo do MADURO, os bonitos ficam ricos, e o povo fica DURO. Por isso a partir de agora eu convoco a toda Gente, VOTE MESMO BOLSONARO COMO NOSSO PRESIDENTE.",https://www.boatos.org/entretenimento/braulio-bessa-cordel-bolsonaro-haddad.html,2018-10-16 17:51:33
31,"Camaradas, estamos recebendo muitas mensagens de companheiros preocupados com uma possível vitória de Bolsonaro, alegando que mesmo as manipulações nas urnas e falsas acusações de nazismo não serão suficientes para detê-lo. Então em virtude disso vamos explicar como funciona essa questão. As urnas são programadas com os candidatos. Este ano não manipulamos os números, ou seja, não fazemos votos de um candidato ir para o outro. O que fazemos é deixar partes do código com erros propositais para as urnas de localidades onde Bolsonaro tem mais votos terem problemas e então terem que ser substituídas, anulando todos os votos daquela seção. Mas isso é o de menos. Depois, fizemos uma exaustiva campanha para colocar, principalmente onde Bolsonaro é mais forte, diversos mesários comprometidos com a URSAL. Permitimos que se use camisas dos candidatos. Com isso, quando vemos alguém com camisa do Bolsonaro, roupa verde e amarela ou alguém que pareça votar no Bolsonaro, fazemos a biometria dar problema, mandamos ele assinar na lista e votar, mas sem que ele saiba não contabilizamos seus votos. Após isso, na hora da contagem, temos agentes da URSAL em diversos locais do Brasil para tentar dar um fim nos BU que tenham votos significativos para o candidato da direita. Depois, as informações dos boletins de urna são enviadas para uma empresa venezuelana ligada ao Maduro e a Sebin, e ela organiza os votos e envia para o TSE (é um serviço terceirizado), por isso a demora na divulgação da eleição presidencial, é o tempo em que enviamos para a Venezuela os votos e o tempo que ela manda de volta para o TSE. É essa a parte crucial do processo.  Nessa contagem, vamos pausando o envio dos dados e eliminando votos do Bolsonaro, até que o Haddad consiga vencer. Essa terceirização impede qualquer suspeita de fraude pois a manipulação não se dá nos servidores do TSE, os dados já são enviados para lá adulterados. Então fiquem tranquilos camaradas, estamos nas mãos do Maduro",https://www.boatos.org/politica/ursal-fraudar-urnas-eletronicas-eleicoes.html,2018-10-16 00:48:49
32," Uma pequena parte do Livro do Haddad. Ou as pessoas não fazem ideia do que defendem, ou de fato apoiam esse pensamento. Pequeno trecho! Essa semana tem mais!  Nesse livro, o professor Haddad explica a técnica de dominação das massas pelo marxismo. Aplicação sistemática do decálogo de Lenin. Olha isso aí, livro do Haddad. Cita o decálogo de Lênin. Leiam é o fim da picada. E estes porcarias de esquerda sonham com isso. O fim da família, da pátria, da religião Não entendo como o povo Brasileiro, um dos povos mais religiosos do mundo, entrou nessa falácia de pt Techo do livro “Em Defesa do Socialismo” do doutor e candidato do PT à presidencia, Fernando Haddad. OS DEZ MANDAMENTOS DO COMUNISMO “DECÁLOGO DE LÊNIN” 1.Corrompa a juventude e dê-lhe liberdade sexual; 2.Infiltre e depois controle todos os veículos de comunicação de massa; 3.Divida a população em grupos antagônicos, incitando-os a discussões sobre assuntos sociais; 4.Fale sempre sobre Democracia e em Estado de Direito, mas, tão logo haja oportunidade, assuma o Poder sem nenhum escrúpulo; 5.Colabore para o esbanjamento do dinheiro público;6.Coloque em descrédito a imagem do País, especialmente no exterior e provoque o pânico e o desassossego na população por meio da inflação;  7.Promova greves, mesmo ilegais, nas indústrias vitais do País; 8.Promova distúrbios e contribua para que as autoridades constituídas não as coíbam;  9.Contribua para a derrocada dos valores morais, da honestidade e da crença nas promessas dos governantes. Nossos parlamentares infiltrados nos partidos democráticos devem acusar os não-comunistas, obrigando-os, sem pena de expô-los ao ridículo, a votar somente no que for de interesse da causa socialista; 10.Procure catalogar todos aqueles que possuam armas de fogo, para que elas sejam confiscadas no momento oportuno, tornando impossível qualquer resistência à causa...",https://www.boatos.org/politica/livro-haddad-cita-decalogo-lenin.html,2018-10-15 21:19:24
33,"Meu Deus!!! Onde isso vai parar??? Até a fé é moeda de troca!!! NOSSA SENHORA APARECIDA PODE DEIXAR DE SER A PADROEIRA DO BRASIL. Projeto de Lei 2623/07 da Câmara dos Deputados pede a retirada do título de “Padroeira do Brasil”. O projeto é do deputado Victorio Galli e foi assinado também pelo Deputado Jair Bolsonaro e seu filho Eduardo Bolsonaro. O bispo da igreja universal Edir Macedo fez um pedido para que Bolsonaro sancione este projeto já em 2019, como moeda de troca para oferecer apoio à Bolsonaro. O Bispo Macedo, dono da Record, quer implantar também o ensino evangélico a todas as crianças, a partir da creche, em janeiro de 2020. Link oficial e integra do projeto diretamente no site da Câmara dos Deputados abaixo: http://www2.camara.leg.br/camaranoticias/noticias/EDUCACAO-E-CULTURA/118715-PROJETO-TORNA-NOSSA-SENHORA-PADROEIRA-APENAS-DOS-CATOLICOS.html  Encontro de Bolsonaro com o Bispo Edir Macedo gera polêmica, ao sugerir troca da imagem da Padroeira do Brasil. A discussão da proposta de substituição da imagem de Nossa Senhora Aparecida gerou inquietação entre os eleitores de Bolsonaro. Agora passou do limite, diz eleitor de Bolsonaro. A crítica Renata Leal, ressalta: “acredito que Jair tomará essa postura, não somente pelo tom de pele da padroeira, e sim para fazer mudança em todos os cenários”. Edir Macedo por sua vez, sugere a substituição alegando que a Padroeira foi descoberta no fundo do rio, devido ao Vale do Paraíba ser o berço do Candomblé no Brasil",https://www.boatos.org/religiao/edir-macedo-bolsonaro-padroeira-brasil.html,2018-10-15 16:39:32
34,"“Conheçam a futura primeira-dama do Brasil, Michele Bolsonaro! Professora, doutoranda pela USP e fala 3 línguas oficiais, além da língua dos sinais! Simples como o marido , orgulho para as mulheres desse país”. Conheça a futura primeira dama Michele Bolsonaro, mandando um recado para o nosso Brasil! “Bom dia a todos! Eu tenho visto várias postagens em todos os cantos, dizendo que não vamos eleger fascistas e nem torturadores. Bom, fascismo, pra mim, e tortura, é não ter hospital e leitos. Fascismo, pra mim, e tortura, é não ter escolas e um nível de educação decente. Tortura e fascismo, pra mim, é não ter segurança, não poder sair à noite. Tortura e fascismo, pra mim, é ver um bandido estuprar e matar e responder em liberdade [...]”.",https://www.boatos.org/politica/michelle-bolsonaro-professora-fascismo.html,2018-10-15 12:42:45
36,"“Para implantar o socialismo é preciso primeiro acabar com o tabu do incesto”. (Fernando Haddad). Se você quiser constatar a veracidade dessa informação basta ler o livro. Aliás eu vejo um fio de esperança para o Brasil quando as pessoas começam a se informar através dos livros. Bomba! Livro de Haddad defende sexo entre pais e filhos. Estou lendo um livrinho do Haddad, onde ele defende a tese encantadora de que para implantar o socialismo é preciso derrubar primeiro o “tabu do incesto”. Kit gay é fichinha. O homem quer que os meninos comam suas mães. Em Defesa do Socialismo.",https://www.boatos.org/politica/livro-haddad-defende-incesto-socialismo.html,2018-10-14 23:21:37
